N,vector total time(s),list total time(s),vector insert time(s),list insert time(s)
10000,0.0126521,0.0960283,0.0034532,0.00157586
20000,0.0453952,0.590373,0.011398,0.00342591
50000,0.265029,6.32425,0.0621942,0.00988026
100000,1.08638,30.7264,0.274217,0.022183
200000,5.0392,134.288,1.59602,0.0481346
300000,11.6677,317.616,3.95115,0.0863665
400000,21.0138,682.499,7.28008,0.149247
500000,32.8607,1343.36,11.6863,0.222103
600000,47.6211,2501.56,16.9675,0.302561
700000,64.2485,4231.82,23.2764,0.481038
800000,84.0283,6650.76,30.5704,0.651316
900000,106.682,9842.69,39.2427,0.681576
1000000,131.703,13541.2,48.4753,0.878751
